	ID	building type	latitudes	longitudes
0	relation/1799692	yes	43.0697982	-89.4114874
1	relation/2071317	university	43.0708731	-89.4065944
2	relation/2075103	university	43.0735612	-89.4003708
3	relation/2649615	school	43.069134	-89.4265374
4	relation/3979952	university	43.0744091	-89.4254336
5	relation/8067560	apartments	43.0687464	-89.4143872
6	relation/12287334	yes	43.0757265	-89.4346436
7	way/28767743	yes	43.0737269	-89.3972958
8	way/37225867	university	43.0768548	-89.4005144
9	way/37256547	university	43.0764111	-89.4262417
10	way/37256548	apartments	43.0725154	-89.4223482
11	way/37256550	yes	43.0731696	-89.4176629
12	way/37256551	yes	43.0732796	-89.4167334
13	way/37257115	university	43.0716957	-89.4088338
14	way/37516017	university	43.0749847	-89.4147438
15	way/37516020	university	43.0754976	-89.4142826
16	way/37516021	yes	43.076302	-89.4137753
17	way/37516023	university	43.0743887	-89.4123124
18	way/37550631	dormitory	43.0781679	-89.4157668
19	way/37550632	dormitory	43.0777162	-89.4151414
20	way/37550804	university	43.0762135	-89.4160881
21	way/37550805	university	43.0762551	-89.4155563
22	way/37550807	university	43.0758177	-89.4152712
23	way/37550815	university	43.076313	-89.4130881
24	way/37691885	university	43.0756555	-89.4182458
25	way/37691887	university	43.0761629	-89.4177546
26	way/37691896	university	43.0761822	-89.4221006
27	way/37722267	university	43.0758038	-89.4163748
28	way/37723611	university	43.0757069	-89.4009736
29	way/37723613	university	43.0757901	-89.4016999
30	way/37727228	university	43.075281	-89.4068564
31	way/37748614	yes	43.0761188	-89.4245922
32	way/37749296	university	43.0764467	-89.4051607
33	way/37749299	university	43.0770522	-89.4023033
34	way/37749302	university	43.0771286	-89.4027699
35	way/37751417	university	43.0761139	-89.4091027
36	way/37751511	dormitory	43.0767375	-89.4073027
37	way/37751913	university	43.0755419	-89.4030386
38	way/37751914	university	43.07554	-89.4026282
39	way/37804098	university	43.0765493	-89.3982059
40	way/37804099	university	43.0756758	-89.3996525
41	way/37862319	dormitory	43.0783077	-89.4155742
42	way/37862320	dormitory	43.0779841	-89.4154622
43	way/37862321	dormitory	43.0779224	-89.4161024
44	way/37862322	dormitory	43.0788082	-89.4180505
45	way/37862323	university	43.0790802	-89.4187424
46	way/37902549	dormitory	43.0780684	-89.4149058
47	way/37965202	yes	43.077101	-89.4130347
48	way/37965212	dormitory	43.0769694	-89.4120503
49	way/37965574	university	43.0759643	-89.3978526
50	way/37966230	university	43.0755563	-89.4039759
51	way/37970663	dormitory	43.0774002	-89.415401
52	way/37970664	dormitory	43.0780424	-89.4132402
53	way/37970665	dormitory	43.0784848	-89.4129426
54	way/37970666	dormitory	43.0782167	-89.4130301
55	way/38019750	university	43.0752867	-89.418283
56	way/38019751	yes	43.0753408	-89.4211527
57	way/38060693	dormitory	43.0776592	-89.4130315
58	way/38060694	dormitory	43.077775	-89.4131195
59	way/38060695	dormitory	43.0780663	-89.41382
60	way/38064535	yes	43.0800499	-89.4310147
61	way/38064536	yes	43.0793055	-89.4284792
62	way/38226215	dormitory	43.0779865	-89.4142756
63	way/38263360	university	43.0748283	-89.4164478
64	way/38311314	university	43.0741878	-89.4214651
65	way/38311318	university	43.0753615	-89.4223266
66	way/38311319	university	43.0754029	-89.4229191
67	way/38311386	yes	43.0742277	-89.4239186
68	way/38311387	yes	43.0750139	-89.4247112
69	way/38311389	yes	43.0751051	-89.4225421
70	way/38311390	yes	43.074911	-89.4223005
71	way/38311391	yes	43.0746836	-89.4225976
72	way/38342300	yes	43.0735258	-89.427788
73	way/38342302	yes	43.0742313	-89.4283596
74	way/38342304	yes	43.073876	-89.426945
75	way/38342306	yes	43.0743066	-89.4264999
76	way/38342307	yes	43.0740856	-89.426559
77	way/38342308	yes	43.0754778	-89.4261519
78	way/38342311	yes	43.0753011	-89.4274171
79	way/38342312	yes	43.0759484	-89.427407
80	way/38342360	yes	43.0766896	-89.4285076
81	way/38342361	yes	43.0756495	-89.427521
82	way/38855393	university	43.0748388	-89.4020617
83	way/38855394	university	43.0745232	-89.4032037
84	way/38855396	university	43.0749497	-89.4047458
85	way/38855397	university	43.075241	-89.4051356
86	way/38855398	university	43.0758218	-89.4077631
87	way/38855410	university	43.0744932	-89.4072776
88	way/38855411	university	43.074696	-89.4070026
89	way/38855412	university	43.0749062	-89.4079348
90	way/38855842	university	43.074572	-89.4087204
91	way/38855843	university	43.0749856	-89.4100179
92	way/38855860	university	43.0757535	-89.4125116
93	way/38856035	university	43.0749615	-89.412962
94	way/38856040	university	43.0749822	-89.4116718
95	way/38856041	university	43.0749822	-89.4116718
96	way/38856044	university	43.0749799	-89.4109686
97	way/38856046	university	43.0749914	-89.410559
98	way/38953056	university	43.0760608	-89.4116856
99	way/38953057	university	43.0761133	-89.4113954
100	way/38953058	university	43.0764042	-89.4116884
101	way/38953059	university	43.0766086	-89.4115148
102	way/38953060	university	43.0764259	-89.4110729
103	way/38953095	university	43.0762878	-89.4077227
104	way/38953112	yes	43.0773016	-89.4113154
105	way/39015616	university	43.0745277	-89.4086583
106	way/39015618	university	43.0744836	-89.4094451
107	way/39015620	university	43.0737569	-89.4097774
108	way/39015623	university	43.0743468	-89.406479
109	way/39015624	university	43.0740633	-89.4081319
110	way/39015632	university	43.0742006	-89.4077625
111	way/39201158	university	43.0748994	-89.4059535
112	way/39201159	university	43.0742812	-89.4057447
113	way/39201161	university	43.0738007	-89.4034796
114	way/39201162	dormitory	43.0738928	-89.4023765
115	way/39201163	university	43.0746978	-89.4016545
116	way/39201164	dormitory	43.0740637	-89.4010822
117	way/39201168	university	43.074949	-89.4031656
118	way/56997833	yes	43.0721499	-89.4127248
119	way/56997834	university	43.0723871	-89.4093564
120	way/56997835	university	43.0725127	-89.4120207
121	way/56997836	university	43.0730739	-89.4137381
122	way/56997837	university	43.0724766	-89.4117186
123	way/56997838	university	43.072121	-89.4112652
124	way/58675200	yes	43.0710232	-89.4119329
125	way/58675201	yes	43.0705803	-89.4105189
126	way/60320800	university	43.0731482	-89.4116766
127	way/101606146	university	43.0750547	-89.3984754
128	way/101606148	commercial	43.0748208	-89.3981617
129	way/101606150	university	43.0743715	-89.3980801
130	way/101606158	university	43.073668	-89.399659
131	way/102201656	dormitory	43.0707137	-89.4017693
132	way/102201663	apartments	43.0708318	-89.4030592
133	way/102234778	office	43.0685832	-89.399981
134	way/102234786	commercial	43.0681014	-89.4007039
135	way/102239119	dormitory	43.0685727	-89.4002952
136	way/102376944	apartments	43.0736803	-89.3973119
