	ID	building type	latitudes	longitudes
0	way/37749300	university	43.0763466	-89.4008431
1	way/38263351	university	43.0746469	-89.4160997
2	way/38953076	university	43.0759407	-89.4105776
3	way/39015619	university	43.0744405	-89.4100299
4	way/102878296	apartments	43.0707959	-89.4078186
5	way/173503696	office	43.0736906	-89.4177884
6	way/174188355	university	43.077692	-89.4284118
7	way/412588608	church	43.0727269	-89.4036324
8	way/422307109	yes	43.0709503	-89.4142854
9	way/440108548	yes	43.072128	-89.4326091
10	way/447802001	yes	43.0692209	-89.4333205
11	way/453179452	yes	43.0701293	-89.4263279
12	way/676434395	house	43.0767074	-89.4353497
13	way/958528168	apartments	43.0710789	-89.4013219
